Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,3126.810059,3150.090088,3020.790039,3023.139893,3023.139893,77456200
2015-01-06,3007.909912,3007.909912,3007.909912,3007.909912,3007.909912,0
2015-01-07,3019.469971,3055.870117,3002.780029,3026.790039,3026.790039,67360700
2015-01-08,3051.260010,3139.919922,3051.260010,3135.080078,3135.080078,74162600
2015-01-09,3128.419922,3128.419922,3021.229980,3042.899902,3042.899902,119801000
2015-01-12,3055.659912,3096.909912,3033.340088,3084.179932,3084.179932,70684600
2015-01-13,3069.820068,3146.540039,3065.370117,3133.860107,3133.860107,68635600
2015-01-14,3108.340088,3148.260010,3077.239990,3089.669922,3089.669922,84003600
2015-01-15,3112.370117,3169.189941,3020.540039,3157.360107,3157.360107,96085100
2015-01-16,3147.530029,3208.300049,3133.899902,3202.239990,3202.239990,80516200
2015-01-19,3208.620117,3238.060059,3198.360107,3220.899902,3220.899902,56272900
2015-01-20,3229.340088,3257.649902,3226.739990,3244.919922,3244.919922,76672700
2015-01-21,3253.449951,3269.729980,3210.949951,3269.729980,3269.729980,77733200
2015-01-22,3270.399902,3332.510010,3261.850098,3322.649902,3322.649902,109024000
2015-01-23,3345.449951,3412.760010,3345.449951,3382.550049,3382.550049,101375800
2015-01-26,3372.030029,3417.459961,3362.629883,3414.280029,3414.280029,59821500
2015-01-27,3413.330078,3413.330078,3353.129883,3372.580078,3372.580078,64709700
2015-01-28,3384.209961,3393.929932,3333.360107,3358.959961,3358.959961,68260300
2015-01-29,3341.179932,3373.179932,3326.379883,3371.830078,3371.830078,65727500
2015-01-30,3386.590088,3392.699951,3332.389893,3351.439941,3351.439941,72775800
2015-02-02,3356.129883,3370.810059,3327.080078,3370.110107,3370.110107,67323700
2015-02-03,3386.550049,3426.669922,3386.550049,3414.179932,3414.179932,81025400
2015-02-04,3416.800049,3422.040039,3389.199951,3415.530029,3415.530029,64536100
2015-02-05,3393.620117,3410.520020,3376.750000,3408.959961,3408.959961,57609100
2015-02-06,3404.939941,3408.879883,3383.750000,3398.159912,3398.159912,46327000
2015-02-09,3371.510010,3371.510010,3321.590088,3347.750000,3347.750000,62897100
2015-02-10,3353.840088,3401.129883,3335.820068,3383.129883,3383.129883,62720100
2015-02-11,3384.280029,3389.919922,3361.469971,3374.139893,3374.139893,56700700
2015-02-12,3371.570068,3433.510010,3365.250000,3417.610107,3417.610107,76812900
2015-02-13,3428.899902,3462.270020,3428.899902,3447.590088,3447.590088,70464200
2015-02-16,3445.439941,3446.520020,3431.290039,3433.300049,3433.300049,37688500
2015-02-17,3420.929932,3443.830078,3381.290039,3438.439941,3438.439941,53398500
2015-02-18,3450.120117,3473.580078,3450.120117,3465.800049,3465.800049,57871300
2015-02-19,3459.489990,3493.669922,3439.179932,3488.080078,3488.080078,66515500
2015-02-20,3483.580078,3495.300049,3454.810059,3490.530029,3490.530029,68863800
2015-02-23,3510.810059,3529.010010,3498.270020,3519.580078,3519.580078,49710700
2015-02-24,3523.989990,3555.310059,3510.449951,3547.100098,3547.100098,55750300
2015-02-25,3544.810059,3549.030029,3529.120117,3541.780029,3541.780029,49400400
2015-02-26,3542.209961,3576.340088,3537.189941,3574.939941,3574.939941,64851700
2015-02-27,3574.330078,3599.000000,3563.149902,3599.000000,3599.000000,68039500
2015-03-02,3594.250000,3607.969971,3577.510010,3591.090088,3591.090088,59085300
2015-03-03,3595.360107,3604.750000,3546.290039,3549.110107,3549.110107,52438800
2015-03-04,3555.909912,3583.439941,3533.399902,3583.439941,3583.439941,51524800
2015-03-05,3590.100098,3626.060059,3589.199951,3618.209961,3618.209961,53143200
2015-03-06,3615.000000,3635.929932,3611.100098,3617.620117,3617.620117,49079900
2015-03-09,3604.129883,3614.580078,3585.120117,3610.280029,3610.280029,51559700
2015-03-10,3605.810059,3610.830078,3552.429932,3567.250000,3567.250000,58294600
2015-03-11,3574.979980,3653.939941,3574.979980,3649.540039,3649.540039,60391700
2015-03-12,3646.350098,3653.379883,3635.770020,3641.320068,3641.320068,57712100
2015-03-13,3649.459961,3656.209961,3628.139893,3656.209961,3656.209961,48593500
2015-03-16,3664.530029,3715.360107,3664.530029,3706.750000,3706.750000,63563300
2015-03-17,3708.040039,3714.020020,3654.530029,3672.159912,3672.159912,54754300
2015-03-18,3673.969971,3680.570068,3643.129883,3668.520020,3668.520020,65315900
2015-03-19,3666.350098,3690.629883,3646.290039,3670.729980,3670.729980,65167100
2015-03-20,3676.139893,3738.199951,3672.600098,3726.070068,3726.070068,109097800
2015-03-23,3718.449951,3718.449951,3688.729980,3699.040039,3699.040039,51274900
2015-03-24,3690.919922,3742.419922,3677.310059,3731.350098,3731.350098,59795700
2015-03-25,3724.750000,3730.800049,3680.149902,3684.040039,3684.040039,47995000
2015-03-26,3664.149902,3669.790039,3616.750000,3669.790039,3669.790039,63870800
2015-03-27,3677.709961,3694.459961,3657.780029,3679.030029,3679.030029,50590400
2015-03-30,3689.389893,3730.899902,3689.389893,3727.800049,3727.800049,50116800
2015-03-31,3724.360107,3738.409912,3688.550049,3697.379883,3697.379883,59078300
2015-04-01,3688.179932,3748.629883,3675.290039,3714.889893,3714.889893,58485600
2015-04-02,3713.739990,3723.340088,3705.649902,3715.270020,3715.270020,38724600
2015-04-07,3729.270020,3778.739990,3729.270020,3768.719971,3768.719971,56005100
2015-04-08,3764.600098,3774.090088,3736.320068,3742.629883,3742.629883,45093900
2015-04-09,3752.659912,3781.790039,3751.189941,3781.790039,3781.790039,40342400
2015-04-10,3790.260010,3816.760010,3789.639893,3816.760010,3816.760010,51095900
2015-04-13,3813.959961,3836.280029,3807.729980,3828.780029,3828.780029,38543000
